MTS,Open,Close,High,Low,Volume
2017-11-12 10:00:00,339.74,337.22,348.16,329.55,4956.07636757
2017-11-12 13:00:00,335.43,338.29,348.99,310.0,5756.86518754
2017-11-12 16:00:00,336.42,345.17,360.0,331.99,4780.5207081
2017-11-12 19:00:00,345.2,438.98,438.99,328.06,17642.7374367
2017-11-12 22:00:00,438.98,423.87,459.89,390.1,53325.7648947
2017-11-13 01:00:00,423.83,414.97,443.81,400.01,16310.73755383
2017-11-13 04:00:00,414.97,484.99,493.77,411.11,32064.3779162
2017-11-13 07:00:00,484.99,449.56,494.53,425.07,22728.44842585
2017-11-13 10:00:00,449.56,438.77,460.47,425.11,9389.31665305
2017-11-13 13:00:00,435.57,433.13,448.97,420.0,7737.965911499998
2017-11-13 16:00:00,433.12,414.01,447.3,413.77,6553.05156937
2017-11-13 19:00:00,414.02,403.73,432.0,394.0,13780.10639757
2017-11-13 22:00:00,403.68,424.3,437.78,396.0,9035.85653056
2017-11-14 01:00:00,427.5,432.42,449.79,410.01,5884.03285731
2017-11-14 04:00:00,433.0,421.33,434.78,408.04,3886.65343083
2017-11-14 07:00:00,421.28,415.79,430.0,403.0,6069.24652078
2017-11-14 10:00:00,413.27,414.81,419.99,401.12,4452.45247382
2017-11-14 13:00:00,413.28,408.01,423.0,407.33,2023.46384195
2017-11-14 16:00:00,409.98,410.3,417.99,408.34,962.79617619
2017-11-14 19:00:00,410.4,427.14,440.0,400.0,8042.604712
2017-11-14 22:00:00,428.39,417.82,429.69,413.23,4664.42062632
2017-11-15 01:00:00,419.0,423.33,427.67,417.5,1324.54808831
2017-11-15 04:00:00,423.19,422.46,423.83,417.35,1484.54021307
2017-11-15 07:00:00,422.0,426.0,429.0,414.6,3190.83724917
2017-11-15 10:00:00,425.83,431.3,436.21,422.8,1667.22130455
2017-11-15 13:00:00,431.3,428.13,433.91,424.65,1127.19569409
2017-11-15 16:00:00,430.0,428.0,441.49,428.0,3110.41265797
2017-11-15 19:00:00,428.01,426.6,432.86,421.01,3018.35642405
2017-11-15 22:00:00,426.73,416.86,429.01,408.54,4060.37370071
2017-11-16 01:00:00,416.9,413.92,424.72,412.61,1969.48012944
2017-11-16 04:00:00,414.28,422.0,422.0,413.5,1441.70880704
2017-11-16 07:00:00,420.74,417.96,422.0,413.52,1937.49796787
2017-11-16 10:00:00,417.89,420.72,427.27,415.8,2088.0739092999997
2017-11-16 13:00:00,421.45,414.44,425.73,413.01,1894.1623186999998
2017-11-16 16:00:00,414.47,412.79,420.76,410.0,2699.43813352
2017-11-16 19:00:00,412.41,414.17,419.97,408.78,2242.56239873
2017-11-16 22:00:00,414.31,418.81,424.86,414.23,3235.57162364
2017-11-17 01:00:00,418.81,417.98,422.0,413.0,1719.60981952
2017-11-17 04:00:00,418.09,420.2,421.01,411.0,4480.17952993
2017-11-17 07:00:00,421.29,421.09,444.93,414.06,9922.13605662
2017-11-17 10:00:00,420.01,417.5,422.27,414.63,1433.86551286
2017-11-17 13:00:00,417.46,413.0,419.48,411.0,2237.10047138
2017-11-17 16:00:00,412.22,416.49,417.0,412.22,1343.44215776
2017-11-17 19:00:00,416.99,428.1,430.0,415.0,2658.58175787
2017-11-17 22:00:00,426.43,421.04,427.63,415.9,4196.83951436
2017-11-18 01:00:00,421.02,424.75,424.75,418.0,1195.08383747
2017-11-18 04:00:00,422.95,423.8,437.48,420.0,3841.41789579
2017-11-18 07:00:00,424.48,427.32,440.8,421.0,3816.09894591
2017-11-18 10:00:00,427.32,454.74,459.0,427.25,10134.93158863
2017-11-18 13:00:00,454.5,458.24,478.98,444.93,8271.94079621
2017-11-18 16:00:00,457.79,452.28,460.0,442.19,3487.05889535
2017-11-18 19:00:00,452.92,446.42,452.92,433.0,3975.71033827
2017-11-18 22:00:00,446.45,447.28,449.38,432.93,3175.69692192
2017-11-19 01:00:00,449.01,461.95,461.97,446.95,2675.12673097
2017-11-19 04:00:00,461.94,454.0,465.76,442.57,3893.3317258
2017-11-19 07:00:00,453.68,451.33,454.99,442.38,1593.15944149
2017-11-19 10:00:00,451.89,453.8,455.0,450.28,929.20559961
2017-11-19 13:00:00,453.8,448.0,454.0,436.1,2219.59812105
2017-11-19 16:00:00,447.21,445.2,449.98,441.95,1940.98336737
2017-11-19 19:00:00,444.79,444.1,447.0,442.7,1708.45754749
2017-11-19 22:00:00,444.08,439.96,446.0,423.94,4795.08125395
2017-11-20 01:00:00,439.88,432.4,444.1,428.74,3567.69102663
2017-11-20 04:00:00,432.4,442.3,443.58,430.41,591.24647117
2017-11-20 07:00:00,442.3,441.8,442.3,437.0,2228.75826211
2017-11-20 10:00:00,441.5,450.8,453.5,440.28,1128.92665215
2017-11-20 13:00:00,449.91,446.6,450.93,443.5,602.49366089
2017-11-20 16:00:00,447.91,448.42,450.19,445.01,1404.55572929
2017-11-20 19:00:00,449.81,444.98,449.92,441.05,1458.40477309
2017-11-20 22:00:00,445.81,447.65,448.0,442.84,529.51230271
2017-11-21 01:00:00,447.77,447.55,449.5,444.26,1272.645235
2017-11-21 04:00:00,446.9,475.89,496.8,445.4,9474.51394067
2017-11-21 07:00:00,475.85,474.99,515.44,470.3,17845.90932145
2017-11-21 10:00:00,475.66,478.0,479.0,451.53,7234.21811112
2017-11-21 13:00:00,478.84,470.0,482.86,466.0,3766.41317603
2017-11-21 16:00:00,469.99,479.0,483.5,463.08,2972.44365397
2017-11-21 19:00:00,479.01,512.17,525.0,477.33,14452.24013237
2017-11-21 22:00:00,512.51,506.04,514.98,491.12,6824.02864965
2017-11-22 01:00:00,506.04,494.0,508.0,487.18,4358.16461619
2017-11-22 04:00:00,495.45,493.13,503.0,483.0,4236.500490500001
2017-11-22 07:00:00,493.13,501.8,504.92,492.12,2736.05576301
2017-11-22 10:00:00,501.8,505.94,517.99,500.9,4219.93222769
2017-11-22 13:00:00,506.36,555.1,568.64,506.36,13365.73971416
2017-11-22 16:00:00,555.98,571.96,584.54,550.0,11718.14644472
2017-11-22 19:00:00,571.99,560.8,581.99,543.93,10623.99966596
2017-11-22 22:00:00,559.26,556.97,580.06,550.5,4710.03211575
2017-11-23 01:00:00,557.24,573.22,579.0,555.0,4082.19708324
2017-11-23 04:00:00,574.0,573.36,596.87,571.03,13726.00440169
2017-11-23 07:00:00,573.35,573.48,584.36,563.0,4452.70962343
2017-11-23 10:00:00,573.05,564.76,573.05,556.42,4283.76442545
2017-11-23 13:00:00,564.77,559.0,569.88,547.0,5012.95772698
2017-11-23 16:00:00,559.0,561.83,562.57,552.1,3062.63664332
2017-11-23 19:00:00,561.81,565.51,575.67,560.06,4925.26596056
2017-11-23 22:00:00,563.91,566.81,572.13,561.41,3027.51670529
2017-11-24 01:00:00,569.44,578.77,578.78,565.0,1820.60775333
2017-11-24 04:00:00,578.77,557.23,578.91,557.0,4540.01648746
2017-11-24 07:00:00,557.36,563.64,565.77,551.05,2897.53705377
2017-11-24 10:00:00,563.43,560.16,568.59,556.0,1513.15318329
2017-11-24 13:00:00,560.45,547.71,562.4,541.11,3602.55617743
2017-11-24 16:00:00,548.48,553.0,559.77,543.96,1575.09331956
2017-11-24 19:00:00,554.97,557.64,558.96,548.78,1737.34733885
2017-11-24 22:00:00,555.0,562.24,568.92,548.43,2420.51325181
2017-11-25 01:00:00,562.81,561.38,564.08,551.11,1321.70190695
2017-11-25 04:00:00,563.14,561.06,566.12,557.9,1682.88109147
2017-11-25 07:00:00,562.82,581.05,602.62,559.79,10360.41707506
2017-11-25 10:00:00,582.0,581.97,590.0,574.2,1935.15838157
2017-11-25 13:00:00,581.96,590.5,609.25,580.0,5771.67074198
2017-11-25 16:00:00,590.52,592.5,598.3,586.28,2227.6680567
2017-11-25 19:00:00,592.5,625.0,633.99,592.5,7952.37991904
2017-11-25 22:00:00,624.98,628.15,647.7,619.69,7101.0764318
2017-11-26 01:00:00,628.15,631.0,634.97,623.69,1407.4817885
2017-11-26 04:00:00,630.59,636.94,655.74,630.0,5508.75447186
2017-11-26 07:00:00,636.93,630.88,638.95,616.51,4560.64931741
2017-11-26 10:00:00,631.86,634.47,644.91,625.12,2016.88658803
2017-11-26 13:00:00,631.42,616.84,634.01,612.77,4100.64557376
2017-11-26 16:00:00,616.49,624.99,636.78,616.45,2387.45665014
2017-11-26 19:00:00,624.99,623.57,633.89,622.0,1806.03938449
2017-11-26 22:00:00,622.3,621.93,636.94,612.0,3110.19773422
2017-11-27 01:00:00,621.93,625.0,631.44,612.66,2830.33581785
2017-11-27 04:00:00,624.99,617.54,638.99,615.86,2592.10228872
2017-11-27 07:00:00,617.54,621.26,632.02,617.36,2895.09039326
2017-11-27 10:00:00,621.4,634.35,639.1,620.16,2082.74864444
2017-11-27 13:00:00,634.0,630.85,642.0,625.5,2718.18241326
2017-11-27 16:00:00,631.06,614.81,634.45,598.14,5058.40053624
2017-11-27 19:00:00,614.93,625.82,627.57,612.33,2045.1241518
2017-11-27 22:00:00,625.87,623.59,627.86,617.77,1537.4625462000001
2017-11-28 01:00:00,621.03,620.0,624.77,618.0,848.33903115
2017-11-28 04:00:00,620.07,623.6,633.9,620.07,2482.36282898
2017-11-28 07:00:00,623.28,621.48,623.55,610.3,1786.57209686
2017-11-28 10:00:00,621.49,618.91,630.91,618.24,2037.63398324
2017-11-28 13:00:00,620.75,615.1,625.16,610.0,1481.96067247
2017-11-28 16:00:00,614.9,611.03,626.98,610.0,4187.99828852
2017-11-28 19:00:00,611.91,608.83,613.55,600.0,3977.15532199
2017-11-28 22:00:00,608.83,611.0,611.87,607.27,2696.07121841
2017-11-29 01:00:00,611.0,616.95,618.0,603.0,1728.24334926
2017-11-29 04:00:00,616.91,607.72,619.6,605.0,2111.5581395
2017-11-29 07:00:00,609.0,636.49,636.49,606.18,5055.28522029
2017-11-29 10:00:00,636.41,622.0,643.0,615.0,7185.96480478
2017-11-29 13:00:00,621.07,630.62,640.0,615.0,4531.40063352
2017-11-29 16:00:00,630.46,688.43,695.0,629.58,13239.70729054
2017-11-29 19:00:00,686.58,722.1,766.06,684.92,23056.15349527
2017-11-29 22:00:00,722.28,704.18,734.99,676.33,9107.64892448
2017-11-30 01:00:00,703.14,636.84,712.97,580.0,13780.7679724
2017-11-30 04:00:00,636.42,661.34,706.9,631.08,16106.04336779
2017-11-30 07:00:00,663.23,689.0,713.05,657.6,6192.57519251
2017-11-30 10:00:00,689.01,727.93,765.8,683.03,8841.12000033
2017-11-30 13:00:00,727.5,770.0,772.4,708.7,9868.55225606
2017-11-30 16:00:00,770.0,760.69,811.72,737.41,21207.46400762
2017-11-30 19:00:00,763.93,722.84,763.99,637.71,23660.24901965
2017-11-30 22:00:00,722.0,728.0,743.73,680.02,15044.22874103
2017-12-01 01:00:00,727.61,725.7,766.03,716.8,8157.62543619
2017-12-01 04:00:00,726.0,757.06,769.8,725.0,5455.164809100002
2017-12-01 07:00:00,756.28,773.0,779.0,745.0,6074.77943736
2017-12-01 10:00:00,773.1,751.81,781.97,747.14,4708.04490773
2017-12-01 13:00:00,751.81,758.99,762.38,728.65,4470.14308358
2017-12-01 16:00:00,758.41,746.0,759.09,729.11,3234.40516853
2017-12-01 19:00:00,745.32,760.0,773.83,745.31,7917.19843271
2017-12-01 22:00:00,759.99,768.0,782.71,750.45,3107.40449481
2017-12-02 01:00:00,767.68,785.31,794.89,766.98,3048.61840593
2017-12-02 04:00:00,785.35,783.45,793.81,775.86,2491.4658332
2017-12-02 07:00:00,785.5,762.63,793.47,762.63,3386.69476885
2017-12-02 10:00:00,763.0,771.79,775.25,752.35,2160.64035711
2017-12-02 13:00:00,771.76,765.54,774.99,761.2,1628.62964943
2017-12-02 16:00:00,766.06,765.24,780.0,761.38,5658.46273636
2017-12-02 19:00:00,765.24,759.47,774.45,750.0,2607.37153859
2017-12-02 22:00:00,759.21,769.01,769.01,755.0,1590.12146689
2017-12-03 01:00:00,768.98,761.22,771.62,751.02,1737.66002996
2017-12-03 04:00:00,761.79,764.43,767.44,753.83,2524.39932874
2017-12-03 07:00:00,764.43,755.0,771.43,751.0,2125.83981546
2017-12-03 10:00:00,755.0,767.99,768.21,751.75,2056.85640589
2017-12-03 13:00:00,768.0,768.62,779.78,764.77,1400.89910161
2017-12-03 16:00:00,768.63,798.13,803.0,767.0,3916.769105
2017-12-03 19:00:00,798.36,787.89,810.73,777.0,5219.33688926
2017-12-03 22:00:00,786.01,779.07,796.99,772.15,4358.03673423
2017-12-04 01:00:00,777.78,776.48,798.0,760.0,2881.18607429
2017-12-04 04:00:00,775.91,759.94,781.38,718.44,5662.3116743
2017-12-04 07:00:00,758.21,754.9,767.84,750.0,1937.58405424
2017-12-04 10:00:00,753.54,759.45,766.7,753.54,2408.42710884
2017-12-04 13:00:00,759.0,764.9,765.1,754.75,1941.68825392
2017-12-04 16:00:00,765.08,741.0,770.5,739.43,1665.60808991
2017-12-04 19:00:00,740.99,758.89,760.5,724.67,3135.88361409
2017-12-04 22:00:00,758.89,752.3,760.98,749.0,1361.12956436
2017-12-05 01:00:00,752.52,755.22,762.67,740.85,1305.47289666
2017-12-05 04:00:00,756.94,766.0,767.0,754.41,1741.02977082
2017-12-05 07:00:00,766.0,752.48,767.63,750.21,2383.71021355
2017-12-05 10:00:00,752.48,750.93,754.4,740.0,1817.21509904
2017-12-05 13:00:00,751.5,765.56,768.79,747.97,2431.6759203
2017-12-05 16:00:00,764.57,755.18,764.57,745.72,930.48239237
2017-12-05 19:00:00,755.18,742.42,761.63,742.37,1487.03301974
2017-12-05 22:00:00,742.51,739.51,754.01,733.0,3367.01513734
2017-12-06 01:00:00,739.51,754.15,760.0,737.77,3031.71244775
2017-12-06 04:00:00,755.45,729.89,757.16,728.0,2348.86015589
2017-12-06 07:00:00,729.89,735.99,763.99,728.0,5679.43240163
2017-12-06 10:00:00,734.77,734.03,738.13,722.22,2924.2644479
2017-12-06 13:00:00,734.03,720.0,734.21,705.99,5264.53103866
2017-12-06 16:00:00,720.0,717.5,729.97,705.97,1847.49084486
2017-12-06 19:00:00,718.66,699.91,723.53,698.5,3264.38727838
2017-12-06 22:00:00,698.58,699.42,702.0,680.1,3314.40253902
2017-12-07 01:00:00,700.66,701.0,715.3,696.01,4983.08042726
2017-12-07 04:00:00,701.0,664.06,701.01,641.51,7426.54601187
2017-12-07 07:00:00,666.45,671.58,689.19,635.0,5758.53510466
2017-12-07 10:00:00,671.63,668.37,680.81,656.96,2818.84907183
2017-12-07 13:00:00,669.96,660.04,672.09,656.45,1676.53798094
2017-12-07 16:00:00,658.38,632.39,663.01,617.37,4648.58461083
2017-12-07 19:00:00,632.38,650.96,672.56,632.38,3800.8781869000004
2017-12-07 22:00:00,650.92,653.99,659.78,620.0,5160.62503029
2017-12-08 01:00:00,653.33,667.78,670.56,626.71,4843.88426929
2017-12-08 04:00:00,669.07,659.76,671.88,647.37,3493.6792115999997
2017-12-08 07:00:00,659.78,640.31,661.0,620.0,4636.99195348
2017-12-08 10:00:00,639.81,655.92,668.61,632.97,7599.17066415
2017-12-08 13:00:00,655.96,659.0,661.88,641.13,2239.2344501
2017-12-08 16:00:00,657.03,706.21,745.59,647.97,9965.49326324
2017-12-08 19:00:00,706.66,687.01,725.0,683.4,6441.29009874
2017-12-08 22:00:00,686.88,705.51,730.0,679.02,6447.29213122
2017-12-09 01:00:00,708.32,703.2,724.0,685.02,3177.74144343
2017-12-09 04:00:00,703.76,699.31,713.5,685.0,4768.43830273
2017-12-09 07:00:00,697.22,723.0,724.0,694.5,3814.24963987
2017-12-09 10:00:00,722.73,745.13,750.0,716.84,5310.05327126
2017-12-09 13:00:00,745.77,732.5,750.0,724.08,4302.19357452
2017-12-09 16:00:00,732.5,735.68,747.84,727.78,4292.75199204
2017-12-09 19:00:00,737.89,731.94,750.0,730.01,2581.72246008
2017-12-09 22:00:00,731.92,690.55,735.0,688.98,5536.78817332
2017-12-10 01:00:00,690.57,700.0,716.19,690.57,3723.3893795999998
2017-12-10 04:00:00,698.02,703.08,721.93,693.4,1684.59284858
2017-12-10 07:00:00,704.38,660.02,704.38,654.82,5805.0724046999985
2017-12-10 10:00:00,660.03,665.59,669.96,625.31,5165.77804637
2017-12-10 13:00:00,665.81,645.85,685.5,639.1,2815.16313481
2017-12-10 16:00:00,646.9,663.38,673.26,643.29,3752.49487621
2017-12-10 19:00:00,663.4,674.81,693.63,656.84,3338.04084728
2017-12-10 22:00:00,672.7,694.67,697.0,668.0,1972.81785556
2017-12-11 01:00:00,695.31,688.01,699.98,680.01,2088.2166898
2017-12-11 04:00:00,689.32,676.78,694.14,662.0,2603.9482820999997
2017-12-11 07:00:00,676.91,702.01,706.13,675.53,2947.02414185
2017-12-11 10:00:00,702.08,704.24,713.91,686.04,1788.51517398
2017-12-11 13:00:00,705.45,706.85,723.0,705.42,1596.95692946
2017-12-11 16:00:00,710.54,699.76,716.82,697.16,1585.28935946
2017-12-11 19:00:00,699.83,715.49,743.79,699.83,4364.97747134
2017-12-11 22:00:00,715.44,741.27,742.74,710.45,1818.07762037
2017-12-12 01:00:00,741.27,738.5,742.98,728.5,1659.66127204
2017-12-12 04:00:00,737.13,760.79,762.85,734.03,3682.56338212
2017-12-12 07:00:00,760.8,758.16,768.0,730.0,5249.0607024
2017-12-12 10:00:00,760.57,779.66,787.37,755.55,4205.03303525
2017-12-12 13:00:00,779.78,764.03,782.07,754.87,2366.13518081
2017-12-12 16:00:00,764.69,782.33,790.0,758.07,2562.19946764
2017-12-12 19:00:00,782.33,809.94,820.0,776.0,6029.60062623
2017-12-12 22:00:00,809.94,914.93,948.13,804.19,11511.55761027
2017-12-13 01:00:00,910.5,903.96,938.97,863.0,5920.19006895
2017-12-13 04:00:00,902.19,926.99,931.42,858.4,5958.12394731
2017-12-13 07:00:00,927.0,785.0,927.0,784.21,9979.06173411
