MTS,Open,Close,High,Low,Volume
2017-10-24 07:00:00,154.0,105.13,200.01,56.0,77305.34606149
2017-10-25 07:00:00,105.13,110.0,136.44,85.9,56002.38983289
2017-10-26 07:00:00,111.4,114.77,125.14,105.03,30179.90809674
2017-10-27 07:00:00,114.77,102.0,117.2,99.26,21846.70325216
2017-10-28 07:00:00,102.0,97.04,105.0,87.2,12913.80616523
2017-10-29 07:00:00,97.04,115.0,116.68,96.41,23370.64441868
2017-10-30 07:00:00,115.0,111.66,117.39,108.3,12975.88840258
2017-10-31 07:00:00,111.69,149.0,155.0,111.69,64683.51641223
2017-11-01 07:00:00,149.62,130.0,152.71,127.61,49262.70575088
2017-11-02 07:00:00,130.43,120.0,137.02,111.48,30353.54483586
2017-11-03 07:00:00,120.0,120.2,129.5,115.11,20583.55320726
2017-11-04 07:00:00,120.2,137.52,139.43,118.2,23309.28506268
2017-11-05 07:00:00,137.53,164.42,174.49,134.3,50431.45027151
2017-11-06 07:00:00,163.8,145.0,168.57,141.1,27111.75750755
2017-11-07 07:00:00,144.0,151.4,160.0,142.2,14993.9655362
2017-11-08 07:00:00,151.44,131.07,157.0,125.55,38581.16971798
2017-11-09 07:00:00,131.07,151.3,153.6,128.4,33072.93486805
2017-11-10 07:00:00,151.41,190.0,194.9,140.0,78990.22552957
2017-11-11 07:00:00,190.0,400.0,478.0,180.12,270964.12423657
2017-11-12 07:00:00,401.0,252.91,447.99,235.0,145702.74800818
2017-11-13 07:00:00,252.9,240.0,282.04,182.0,89034.09325424
2017-11-14 07:00:00,240.0,173.69,247.0,160.0,75803.98986415
2017-11-15 07:00:00,173.6,163.6,197.5,160.0,52737.833829
2017-11-16 07:00:00,163.6,154.8,198.26,151.0,55717.55016231
2017-11-17 07:00:00,154.51,162.91,173.0,152.68,33813.52912078
2017-11-18 07:00:00,163.55,176.2,180.3,162.7,29535.16844099
2017-11-19 07:00:00,176.2,163.99,178.0,160.0,23728.9298082
2017-11-20 07:00:00,162.51,195.0,240.0,150.0,89869.34283224
2017-11-21 07:00:00,194.1,252.0,262.14,181.65,180551.67472845
2017-11-22 07:00:00,251.8,233.2,258.8,216.5,41746.09433957
2017-11-23 07:00:00,233.17,284.5,294.78,232.8,92820.19396592
2017-11-24 07:00:00,284.1,392.3,420.0,274.55,223081.69018306
2017-11-25 07:00:00,392.0,357.05,394.4,319.5,102285.13459399
2017-11-26 07:00:00,357.04,368.27,370.0,330.0,62731.51361328
2017-11-27 07:00:00,367.01,361.91,393.0,346.08,65078.25327724
2017-11-28 07:00:00,361.88,329.4,367.0,321.5,42040.04304844
