MTS,open,close,high,low,volume
2017-08-02 13:00:00,550.0,495.0,550.0,301.01,7868.66633674
2017-08-02 19:00:00,495.0,409.8,693.7,368.0,34995.70808649
2017-08-03 01:00:00,409.81,399.0,409.9,295.11,25761.4785979
2017-08-03 07:00:00,399.0,428.01,435.0,350.0,7864.96106998
2017-08-03 13:00:00,427.89,422.01,433.0,403.4,6610.75449435
2017-08-03 19:00:00,422.03,358.0,425.0,341.2,15811.618907299999
2017-08-04 01:00:00,360.0,327.4,370.0,302.1,16790.98737935
2017-08-04 07:00:00,327.4,337.0,354.0,285.95,17290.30814267
2017-08-04 13:00:00,337.0,276.7,337.63,261.1,22298.62618271
2017-08-04 19:00:00,277.4,278.09,288.0,250.1,24964.87731783
2017-08-05 01:00:00,278.09,220.61,287.9,220.5,24770.38252199
2017-08-05 07:00:00,220.61,265.5,277.45,194.66,32846.81503729
2017-08-05 13:00:00,265.5,227.0,269.0,206.66,18050.02076204
2017-08-05 19:00:00,227.11,229.66,237.14,212.6,13995.13076274
2017-08-06 01:00:00,229.01,210.0,229.9,198.0,18029.03216385
2017-08-06 07:00:00,210.0,213.5,222.99,198.15,10420.93362697
2017-08-06 13:00:00,213.83,195.1,219.0,190.1,21154.98279564
2017-08-06 19:00:00,195.1,197.5,207.98,191.0,26780.18305435
2017-08-07 01:00:00,197.6,217.75,217.75,196.5,14906.4931512
2017-08-07 07:00:00,217.44,235.15,265.0,215.0,56916.80802108
2017-08-07 13:00:00,235.15,249.1,268.01,232.5,26629.94714865
2017-08-07 19:00:00,251.89,282.72,286.0,243.01,36536.43611494
2017-08-08 01:00:00,282.68,320.0,370.0,280.0,114276.58737308
2017-08-08 07:00:00,318.64,320.0,335.0,307.5,24463.48567892
2017-08-08 13:00:00,320.49,354.0,370.0,316.0,29718.8431745
2017-08-08 19:00:00,353.03,346.2,387.2,335.3,51944.76635887
2017-08-09 01:00:00,345.75,342.23,353.0,313.0,41854.05237208
2017-08-09 07:00:00,342.05,327.05,344.79,317.42,17873.75821311
2017-08-09 13:00:00,327.01,316.62,348.0,312.0,20181.76500537
2017-08-09 19:00:00,316.62,324.36,328.99,308.2,11873.55995138
2017-08-10 01:00:00,324.34,301.0,324.48,287.0,21622.23554101
2017-08-10 07:00:00,301.8,296.02,311.0,290.0,10406.31469716
2017-08-10 13:00:00,296.01,293.78,299.0,278.35,18122.61639201
2017-08-10 19:00:00,292.92,290.11,312.0,286.0,13794.77986539
2017-08-11 01:00:00,290.89,273.11,291.5,265.0,21356.94943157
2017-08-11 07:00:00,273.85,287.63,290.0,270.01,7856.26169431
2017-08-11 13:00:00,288.0,338.96,343.95,287.86,40928.87043792
2017-08-11 19:00:00,338.0,330.47,351.47,322.0,24339.76187293
2017-08-12 01:00:00,330.47,325.54,334.09,315.0,10073.72182415
2017-08-12 07:00:00,325.21,332.93,345.25,310.6,12158.03804108
2017-08-12 13:00:00,333.26,330.7,336.99,326.37,3807.26556355
2017-08-12 19:00:00,330.01,319.49,331.2,308.0,7714.65349733
2017-08-13 01:00:00,319.39,315.09,324.75,310.0,5380.48025777
2017-08-13 07:00:00,315.08,307.01,316.41,300.0,8819.12795515
2017-08-13 13:00:00,307.0,302.73,318.99,301.5,9104.98901422
2017-08-13 19:00:00,303.6,302.94,318.46,301.5,7254.85404836
2017-08-14 01:00:00,301.58,296.26,308.45,292.14,6971.21497746
2017-08-14 07:00:00,294.72,317.76,331.0,293.0,13308.01501919
2017-08-14 13:00:00,317.76,304.0,318.2,301.65,9426.56647913
2017-08-14 19:00:00,304.0,296.69,309.99,292.0,10228.10097341
2017-08-15 01:00:00,296.69,299.3,300.94,290.45,4132.81654636
2017-08-15 07:00:00,300.45,299.0,307.35,294.1,4343.64869231
2017-08-15 13:00:00,298.91,302.49,302.49,290.0,7806.79975574
2017-08-15 19:00:00,300.62,296.0,302.0,290.4,5760.23353951
2017-08-16 01:00:00,295.9,297.01,303.96,291.0,4204.86709893
2017-08-16 07:00:00,298.29,290.0,298.79,282.0,6279.92386351
2017-08-16 13:00:00,290.29,297.1,299.4,283.0,3687.70662387
2017-08-16 19:00:00,297.09,290.2,311.0,290.2,8197.1330285
2017-08-17 01:00:00,299.59,299.99,302.53,292.31,3800.58090144
2017-08-17 07:00:00,299.92,297.67,302.46,291.1,3082.85495821
2017-08-17 13:00:00,297.0,297.08,300.98,295.2,3382.34073516
2017-08-17 19:00:00,297.6,386.99,410.0,296.38,61908.42346846
2017-08-18 01:00:00,387.0,444.0,451.62,368.78,54515.73795516
2017-08-18 07:00:00,443.99,510.24,559.0,437.1,106969.272002
2017-08-18 13:00:00,512.38,495.49,516.7,455.0,38628.501592
2017-08-18 19:00:00,496.49,615.0,616.9,496.01,93957.03254680001
2017-08-19 01:00:00,615.0,686.28,774.98,602.0,144066.79668798
2017-08-19 07:00:00,686.28,691.38,727.7,602.02,47210.11514219
2017-08-19 13:00:00,691.7,888.91,909.98,681.01,69017.21971549
2017-08-19 19:00:00,888.18,814.02,972.0,775.52,110971.79219557
2017-08-20 01:00:00,813.0,746.58,835.22,672.16,61107.23934206
2017-08-20 07:00:00,744.25,768.1,851.79,735.33,39882.57499991
2017-08-20 13:00:00,767.5,760.0,840.0,740.51,23116.77181236
2017-08-20 19:00:00,759.98,703.0,778.17,677.0,34608.80100019
2017-08-21 01:00:00,703.55,716.4,793.43,688.0,45178.86920892
2017-08-21 07:00:00,716.57,692.0,749.9,688.46,14296.74051112
2017-08-21 13:00:00,695.3,632.0,712.28,630.15,31071.38777688
2017-08-21 19:00:00,632.0,587.4,639.0,558.16,55421.26852381
2017-08-22 01:00:00,587.41,606.04,661.0,580.01,32518.82968029
2017-08-22 07:00:00,606.36,610.23,618.9,565.89,17298.30623226
2017-08-22 13:00:00,610.21,706.0,736.0,604.87,54980.36909076
2017-08-22 19:00:00,706.0,682.0,709.9,610.01,28523.42534255
2017-08-23 01:00:00,681.9,686.12,706.37,641.02,16008.25505978
2017-08-23 07:00:00,686.53,677.7,711.77,654.0,13516.27775335
2017-08-23 13:00:00,678.0,661.0,694.16,660.0,7381.00754187
2017-08-23 19:00:00,663.02,662.22,677.89,651.6,7004.85788929
2017-08-24 01:00:00,665.17,674.0,683.0,651.0,7652.45215309
2017-08-24 07:00:00,675.0,660.1,704.37,651.0,12011.48702442
2017-08-24 13:00:00,661.99,643.55,662.0,635.1,6862.71720272
2017-08-24 19:00:00,643.43,626.31,649.0,623.0,11181.65489198
2017-08-25 01:00:00,626.7,618.8,640.0,601.0,13942.32651975
2017-08-25 07:00:00,619.1,623.0,642.0,614.39,6476.58757572
2017-08-25 13:00:00,623.8,661.0,664.0,623.66,9324.48343251
2017-08-25 19:00:00,661.0,629.47,661.2,623.11,8010.63576815
2017-08-26 01:00:00,631.09,632.2,633.89,617.6,5179.17426064
2017-08-26 07:00:00,632.2,626.76,638.99,621.54,5004.45178828
2017-08-26 13:00:00,627.64,627.5,632.9,624.29,3482.75316712
2017-08-26 19:00:00,627.21,626.51,628.0,611.1,7973.37870075
2017-08-27 01:00:00,624.15,622.0,628.87,617.0,1710.33089258
2017-08-27 07:00:00,622.87,605.42,624.0,595.84,5635.93212556
2017-08-27 13:00:00,604.19,596.27,607.88,581.23,9029.20472033
2017-08-27 19:00:00,596.26,616.0,653.04,583.5,18997.8330516
2017-08-28 01:00:00,615.42,615.0,624.32,602.19,3591.29220766
2017-08-28 07:00:00,614.33,596.9,628.28,595.0,4529.47211749
2017-08-28 13:00:00,598.33,604.66,607.1,591.24,5207.79424823
2017-08-28 19:00:00,602.54,592.64,605.0,592.64,2336.55300255
2017-08-29 01:00:00,594.0,590.7,600.0,574.25,5239.89195706
2017-08-29 07:00:00,590.7,585.22,597.51,583.17,2227.25425505
2017-08-29 13:00:00,585.22,579.1,596.0,577.26,3165.61432174
2017-08-29 19:00:00,579.1,567.7,586.75,550.97,17439.2905822
2017-08-30 01:00:00,567.26,544.12,572.0,523.06,24500.20218962
2017-08-30 07:00:00,545.08,538.0,559.33,528.97,7563.90980938
2017-08-30 13:00:00,538.0,569.63,618.0,529.98,26558.64061532
2017-08-30 19:00:00,569.63,565.1,579.12,551.0,9942.11590599
2017-08-31 01:00:00,565.1,579.61,585.99,554.5,6892.96255692
2017-08-31 07:00:00,579.39,580.8,591.65,567.0,7284.73522054
2017-08-31 13:00:00,580.8,597.51,608.5,579.0,7281.11523486
2017-08-31 19:00:00,597.6,590.0,609.93,575.11,7429.15526693
2017-09-01 01:00:00,590.0,593.32,596.86,581.0,3727.59394547
2017-09-01 07:00:00,593.54,590.62,599.71,590.62,3544.66568956
2017-09-01 13:00:00,591.64,599.5,603.49,586.0,6866.9812925999995
2017-09-01 19:00:00,599.5,629.0,656.99,596.0,18074.67659135
2017-09-02 01:00:00,629.01,628.01,647.91,625.1,8413.03514697
2017-09-02 07:00:00,628.0,591.95,646.53,590.1,13593.48490566
2017-09-02 13:00:00,592.13,596.0,609.77,581.86,7987.66371099
2017-09-02 19:00:00,596.0,583.9,600.9,561.63,8742.69980925
2017-09-03 01:00:00,578.065,584.0450000000002,591.6949999999998,564.64,4460.42728231
