MTS,open,close,high,low,volume
2018-02-03 18:00:00,120.62,125.02,125.77,120.0,487.78718217
2018-02-03 19:00:00,125.02,125.8,126.8,123.98,1049.84479852
2018-02-03 20:00:00,125.79,128.6,129.31,124.8,1408.22245588
2018-02-03 21:00:00,128.77,132.12,133.64,127.29,1658.36857312
2018-02-03 22:00:00,132.08,127.1,134.49,126.93,1247.93699904
2018-02-03 23:00:00,127.72,129.89,129.89,125.02,1914.69687141
2018-02-04 00:00:00,129.53,126.67,130.83,126.37,1381.27853607
2018-02-04 01:00:00,126.68,130.83,130.83,126.18,461.55114599
2018-02-04 02:00:00,130.83,129.81,131.5,128.8,222.38018754
2018-02-04 03:00:00,129.89,131.5,132.0,129.16,2087.58860954
2018-02-04 04:00:00,131.5,128.85,131.51,127.92,1430.26059239
2018-02-04 05:00:00,128.93,128.81,129.48,127.08,474.58422646
2018-02-04 06:00:00,128.62,128.6,128.62,125.22,386.3090477
2018-02-04 07:00:00,128.58,125.86,128.78,124.66,427.13642155
2018-02-04 08:00:00,125.84,125.09,127.91,124.7,511.38512945
2018-02-04 09:00:00,125.48,126.01,126.33,124.47,246.07626385
2018-02-04 10:00:00,126.65,127.95,129.47,125.84,558.21935082
2018-02-04 11:00:00,128.35,127.46,129.4,125.82,296.07037417
2018-02-04 12:00:00,126.57,129.88,130.36,125.99,978.74344246
2018-02-04 13:00:00,129.82,132.46,133.15,129.06,1560.86754773
2018-02-04 14:00:00,132.26,128.07,132.48,128.06,466.19567546
2018-02-04 15:00:00,128.84,129.08,131.32,126.06,1251.7386442
2018-02-04 16:00:00,129.08,121.48,129.08,119.5,1979.23252183
2018-02-04 17:00:00,121.51,121.34,122.38,118.88,1111.03678873
2018-02-04 18:00:00,121.33,119.0,125.29,118.0,2413.55642398
2018-02-04 19:00:00,118.6,120.18,120.35,114.34,3504.80274175
2018-02-04 20:00:00,120.48,118.45,120.81,117.6,728.81056165
2018-02-04 21:00:00,118.52,120.0,121.76,118.52,854.87359137
2018-02-04 22:00:00,119.65,114.71,120.77,114.16,2038.07422059
2018-02-04 23:00:00,114.71,113.32,115.22,110.47,2859.38791356
2018-02-05 00:00:00,113.25,116.58,116.58,112.57,1033.06785153
2018-02-05 01:00:00,116.59,114.98,117.58,114.5,753.48841206
2018-02-05 02:00:00,115.08,111.0,115.48,111.0,1025.21418325
2018-02-05 03:00:00,111.0,110.03,111.5,104.33,4096.42449486
2018-02-05 04:00:00,110.15,108.03,111.55,107.97,2433.97517492
2018-02-05 05:00:00,107.61,111.96,113.29,107.61,982.22779388
2018-02-05 06:00:00,112.0,108.76,113.13,108.75,686.59292163
2018-02-05 07:00:00,108.92,110.0,111.67,108.92,272.55356475
2018-02-05 08:00:00,109.43,105.7,109.43,103.0,1903.17749596
2018-02-05 09:00:00,105.66,106.01,106.87,103.4,1411.59730073
2018-02-05 10:00:00,105.91,106.05,108.59,105.73,830.2799909
2018-02-05 11:00:00,107.0,109.39,109.4,104.8,499.45666868
2018-02-05 12:00:00,109.39,109.0,110.81,108.9,425.34993425
2018-02-05 13:00:00,108.77,108.26,111.0,107.45,629.57735802
2018-02-05 14:00:00,108.42,106.81,109.85,106.49,431.90729318
2018-02-05 15:00:00,106.0,104.03,106.22,104.02,458.33751445
2018-02-05 16:00:00,104.02,105.53,107.81,103.68,975.88441669
2018-02-05 17:00:00,105.2,101.03,107.99,101.0,3251.48075998
2018-02-05 18:00:00,101.25,98.255,101.5,97.34,1240.42531884
2018-02-05 19:00:00,98.267,100.22,101.93,97.621,1507.88527043
2018-02-05 20:00:00,100.28,100.52,102.49,99.023,631.41973195
2018-02-05 21:00:00,100.33,94.23,100.63,93.911,2398.8779492
2018-02-05 22:00:00,94.4,94.7,96.436,91.621,2701.90453261
2018-02-05 23:00:00,94.698,93.196,95.87,92.315,1529.27943516
2018-02-06 00:00:00,92.698,88.56,93.059,88.111,3271.37754704
2018-02-06 01:00:00,88.56,86.2,91.259,85.73100000000002,3465.8133784999995
2018-02-06 02:00:00,87.73200000000001,80.691,87.73200000000001,80.5,3373.27427092
2018-02-06 03:00:00,81.3,91.888,96.99,79.803,5294.68816617
2018-02-06 04:00:00,91.8,91.471,93.845,89.65,953.97697521
2018-02-06 05:00:00,90.658,86.92299999999999,93.542,86.92299999999999,1289.73958081
2018-02-06 06:00:00,86.941,86.42200000000004,87.807,85.204,1447.97471488
2018-02-06 07:00:00,87.62,87.94,89.368,85.291,1182.63241649
2018-02-06 08:00:00,86.986,80.98899999999998,86.986,79.69,1584.65657573
2018-02-06 09:00:00,80.0,79.0,81.346,77.521,1434.9185705
2018-02-06 10:00:00,79.03,76.8,79.445,75.0,2406.31422996
2018-02-06 11:00:00,76.41,74.2,76.42,74.07,562.46645079
2018-02-06 12:00:00,74.2,79.059,81.719,72.172,2985.25327879
2018-02-06 13:00:00,79.387,75.813,79.556,73.7,1388.64227627
2018-02-06 14:00:00,75.813,74.043,77.304,73.5,966.13948851
2018-02-06 15:00:00,74.0,75.51,77.079,73.94,934.77805946
2018-02-06 16:00:00,75.479,82.43,86.595,75.01100000000002,2627.81163121
2018-02-06 17:00:00,81.762,76.189,82.98899999999998,72.17,8191.40318662
2018-02-06 18:00:00,76.19,77.58,77.959,73.411,2188.91807444
2018-02-06 19:00:00,77.58,80.65,82.536,76.688,1011.43601189
2018-02-06 20:00:00,80.891,87.44,88.83,80.891,3050.5941211
2018-02-06 21:00:00,87.9,87.0,89.964,83.66,2270.98013729
2018-02-06 22:00:00,87.0,89.45100000000002,92.6,85.48,2990.1849323
2018-02-06 23:00:00,89.696,87.0,91.586,85.318,2338.67658338
2018-02-07 00:00:00,86.80799999999998,86.0,86.999,83.79899999999998,2059.12690579
2018-02-07 01:00:00,86.0,87.999,87.999,84.434,1805.02667239
2018-02-07 02:00:00,87.97,91.844,93.556,87.29,2101.2088831
2018-02-07 03:00:00,91.973,92.0,96.998,91.066,2070.72408463
2018-02-07 04:00:00,92.13,96.999,98.466,91.483,2065.34050011
2018-02-07 05:00:00,97.0,95.0,97.2,91.297,1605.02940166
2018-02-07 06:00:00,94.799,96.182,98.33,94.405,749.40290276
2018-02-07 07:00:00,96.299,92.868,96.735,92.04,966.48273192
2018-02-07 08:00:00,92.869,93.898,95.911,91.201,648.73934816
2018-02-07 09:00:00,93.888,90.8,95.369,90.339,560.8343912
2018-02-07 10:00:00,90.796,87.98,90.796,87.0,1564.73896433
2018-02-07 11:00:00,88.296,92.134,92.236,87.272,1090.98798874
2018-02-07 12:00:00,91.798,90.6,92.48,88.911,343.1817642
2018-02-07 13:00:00,90.6,90.6,91.817,88.542,523.61722938
2018-02-07 14:00:00,91.151,94.584,94.649,89.74799999999998,740.54093349
2018-02-07 15:00:00,93.711,94.397,95.199,92.644,792.29986619
2018-02-07 16:00:00,94.397,97.9,98.466,94.397,1253.92316504
2018-02-07 17:00:00,97.482,102.0,102.0,96.231,1971.04715351
2018-02-07 18:00:00,102.0,101.14,104.0,98.546,2094.02979844
2018-02-07 19:00:00,101.86,103.3,103.3,99.0,1180.87597944
2018-02-07 20:00:00,103.3,101.36,106.66,101.36,3040.09259146
2018-02-07 21:00:00,101.43,101.08,102.88,98.74,2036.46490643
2018-02-07 22:00:00,101.1,100.0,102.5,98.089,3323.52230329
2018-02-07 23:00:00,100.0,96.048,101.0,95.897,1628.58252614
2018-02-08 00:00:00,96.179,101.01,101.64,96.179,1739.33803344
2018-02-08 01:00:00,101.66,100.98,102.68,100.98,1132.73110387
2018-02-08 02:00:00,101.45,101.78,102.0,100.98,1584.16693429
2018-02-08 03:00:00,101.78,101.0,102.42,100.98,1613.56942071
2018-02-08 04:00:00,101.14,97.944,103.3,97.812,1245.07366865
2018-02-08 05:00:00,98.029,93.21,98.65,93.198,2621.37925453
2018-02-08 06:00:00,93.199,88.999,93.199,87.96,2813.11070163
2018-02-08 07:00:00,89.927,91.024,93.327,89.881,838.32173141
2018-02-08 08:00:00,91.025,94.153,95.332,89.601,2691.86810848
2018-02-08 09:00:00,94.153,94.29,95.91,94.1,2209.08666521
2018-02-08 10:00:00,94.5,94.689,95.33,92.706,2896.97084601
2018-02-08 11:00:00,93.694,98.247,98.25,93.692,428.62247653
2018-02-08 12:00:00,96.95,95.38,97.602,95.01,448.8678801
2018-02-08 13:00:00,95.382,94.973,95.382,92.844,951.55052709
2018-02-08 14:00:00,94.879,98.5,99.0,94.879,1091.54620843
2018-02-08 15:00:00,98.5,97.818,99.0,96.5,618.58521292
2018-02-08 16:00:00,97.799,98.0,98.55,96.5,176.98607027
2018-02-08 17:00:00,98.456,116.0,117.89,98.456,9902.367712
2018-02-08 18:00:00,116.0,109.4,117.0,108.53,3783.51901539
2018-02-08 19:00:00,109.41,114.5,115.0,108.02,2808.72647663
2018-02-08 20:00:00,114.9,111.2,114.9,111.2,1155.68867771
2018-02-08 21:00:00,111.13,110.0,112.0,108.95,1609.88190066
2018-02-08 22:00:00,110.0,106.2,110.34,105.1,1162.20886491
2018-02-08 23:00:00,107.1,113.27,113.27,105.76,936.96490443
2018-02-09 00:00:00,112.91,111.03,112.94,109.1,1370.81945703
2018-02-09 01:00:00,110.84,111.95,112.6,107.5,1107.7049879
2018-02-09 02:00:00,111.95,112.57,115.0,110.03,1844.03552412
2018-02-09 03:00:00,112.67,112.5,115.0,111.0,605.21164162
2018-02-09 04:00:00,112.43,111.75,114.05,111.02,1579.55627558
2018-02-09 05:00:00,112.17,111.73,114.3,110.75,738.59869885
2018-02-09 06:00:00,111.84,111.0,112.19,110.24,1047.65389356
2018-02-09 07:00:00,111.0,106.71,111.0,106.0,1838.71672424
2018-02-09 08:00:00,107.1,108.86,108.9,105.3,683.50276636
2018-02-09 09:00:00,108.99,112.3,112.48,106.56,1555.85216605
2018-02-09 10:00:00,112.3,119.99,120.0,109.27,3618.1860946
2018-02-09 11:00:00,119.99,112.92,119.99,111.0,2473.46861262
2018-02-09 12:00:00,113.36,113.5,114.77,108.44,2972.58863299
2018-02-09 13:00:00,113.54,115.47,116.99,112.5,956.94577575
2018-02-09 14:00:00,115.28,116.8,117.77,114.63,805.98957617
2018-02-09 15:00:00,116.94,116.9,118.14,113.01,854.67414366
2018-02-09 16:00:00,116.23,117.16,120.0,116.23,1102.71493782
2018-02-09 17:00:00,117.81,117.51,119.74,115.11,995.30149706
2018-02-09 18:00:00,117.01,116.84,118.87,116.01,889.53899911
2018-02-09 19:00:00,116.89,117.99,118.9,116.03,583.70030432
2018-02-09 20:00:00,117.99,118.48,121.5,117.23,1368.57863831
2018-02-09 21:00:00,118.24,118.03,119.79,117.12,2055.39288016
2018-02-09 22:00:00,118.28,120.39,120.73,118.24,1578.19452634
2018-02-09 23:00:00,120.69,121.04,122.94,119.33,1258.02499322
2018-02-10 00:00:00,121.04,125.8,128.0,120.72,2367.2820987
