MTS,open,close,high,low,volume
2018-02-03 18:00:00,133.07,136.85,137.0,132.23,10289.32970598
2018-02-03 19:00:00,136.85,139.0,139.0,135.19,13366.79070969
2018-02-03 20:00:00,139.0,146.31,147.3,138.35,25121.53205701
2018-02-03 21:00:00,146.67,148.38,150.9,145.31,24516.95484442
2018-02-03 22:00:00,148.3,145.07,151.76,144.74,22882.32894259
2018-02-03 23:00:00,145.07,149.14,149.49,141.74,13966.10925725
2018-02-04 00:00:00,149.14,147.42,150.7,146.34,13256.44632238
2018-02-04 01:00:00,147.35,157.95,158.0,145.24,27345.373108300002
2018-02-04 02:00:00,158.0,159.5,161.0,155.53,36215.93478224
2018-02-04 03:00:00,159.5,158.17,166.4,156.74,50034.43705854
2018-02-04 04:00:00,158.22,154.87,162.5,153.23,32647.1993108
2018-02-04 05:00:00,154.87,155.54,158.87,152.49,19509.62408311
2018-02-04 06:00:00,155.48,161.35,161.55,153.05,12709.92830559
2018-02-04 07:00:00,161.5,159.36,161.66,155.79,19604.67864736
2018-02-04 08:00:00,159.36,157.82,165.0,157.67,25958.16359377
2018-02-04 09:00:00,157.82,163.0,163.95,157.75,15536.95396332
2018-02-04 10:00:00,163.0,163.0,164.79,162.45,10240.66209947
2018-02-04 11:00:00,163.0,164.5,165.13,159.01,16592.96402828
2018-02-04 12:00:00,164.75,172.59,172.89,164.4,40604.16481302
2018-02-04 13:00:00,172.77,170.41,174.3,168.45,29886.34141444
2018-02-04 14:00:00,170.38,168.36,173.1,166.5,27744.72656072
2018-02-04 15:00:00,168.39,163.99,169.38,163.8,20668.85407221
2018-02-04 16:00:00,163.99,154.64,163.99,151.51,49416.80414204
2018-02-04 17:00:00,154.62,156.49,157.45,149.17,38852.70022428
2018-02-04 18:00:00,156.49,154.48,162.54,154.0,29349.94843121
2018-02-04 19:00:00,154.56,158.94,159.5,147.0,74077.81498659
2018-02-04 20:00:00,159.2,156.1,159.64,153.27,33546.59396114
2018-02-04 21:00:00,156.0,155.31,161.74,154.6,37228.02066541
2018-02-04 22:00:00,155.31,150.7,157.99,148.61,42039.701622800014
2018-02-04 23:00:00,150.62,153.01,153.35,147.01,38507.48142153
2018-02-05 00:00:00,153.19,152.68,155.67,151.0,14823.51175342
2018-02-05 01:00:00,152.43,150.26,155.29,149.0,19719.22841653
2018-02-05 02:00:00,150.26,145.04,150.26,144.11,32944.98405555
2018-02-05 03:00:00,145.04,143.97,146.52,136.14,57598.260200900004
2018-02-05 04:00:00,143.61,141.42,145.94,140.16,23289.09842654
2018-02-05 05:00:00,141.45,153.32,154.1,140.59,30409.06591999
2018-02-05 06:00:00,153.32,147.47,154.45,146.3,26215.00565336
2018-02-05 07:00:00,147.91,149.54,151.65,147.35,15070.406786700001
2018-02-05 08:00:00,149.33,146.42,149.57,139.53,37559.87313719
2018-02-05 09:00:00,146.37,146.1,147.57,141.2,20844.84869125
2018-02-05 10:00:00,146.1,150.11,152.33,145.52,31004.18769816
2018-02-05 11:00:00,149.94,152.69,153.19,145.83,20325.20368288
2018-02-05 12:00:00,152.6,149.34,154.46,148.0,14576.88587523
2018-02-05 13:00:00,149.09,146.85,151.74,146.32,13746.93468774
2018-02-05 14:00:00,146.83,144.0,148.2,142.36,24105.64958279
2018-02-05 15:00:00,143.77,140.58,145.0,140.1,20893.8135612
2018-02-05 16:00:00,140.36,143.26,147.33,138.31,26525.74150568
2018-02-05 17:00:00,143.26,138.33,144.71,138.2,18273.98822352
2018-02-05 18:00:00,138.32,133.99,140.47,132.75,27871.16351987
2018-02-05 19:00:00,134.0,138.01,141.34,133.42,33392.92262998
2018-02-05 20:00:00,138.36,136.24,141.04,135.31,13881.12886295
2018-02-05 21:00:00,136.18,129.49,136.18,127.9,43697.35334342
2018-02-05 22:00:00,129.55,133.86,137.94,126.19,45748.92176718
2018-02-05 23:00:00,134.16,132.56,138.38,130.3,24388.83415213
2018-02-06 00:00:00,132.17,126.1,132.99,126.09,19892.27194073
2018-02-06 01:00:00,126.1,125.13,130.67,123.78,47429.86971943
2018-02-06 02:00:00,125.55,119.34,126.78,117.5,58553.0150055
2018-02-06 03:00:00,118.41,131.01,137.32,117.35,81227.88756447
2018-02-06 04:00:00,131.0,129.2,134.57,126.29,38234.94801657
2018-02-06 05:00:00,129.19,122.97,134.0,122.94,20906.1536875
2018-02-06 06:00:00,123.37,125.32,127.0,120.92,35534.78108928
2018-02-06 07:00:00,125.61,127.55,130.37,125.27,26770.44053057
2018-02-06 08:00:00,127.55,116.29,127.55,116.06,37675.48318253
2018-02-06 09:00:00,116.58,115.56,121.48,113.0,35125.53331587
2018-02-06 10:00:00,115.72,116.0,116.99,111.18,36274.29920539
2018-02-06 11:00:00,115.51,109.5,116.3,109.0,30040.14162789
