MTS,open,close,high,low,volume
2017-07-10 13:00:00,2.168,2.155,2.2495,2.125,260007.47828056
2017-07-10 19:00:00,2.1694,1.9869999999999999,2.1790000000000003,1.86,899139.7195753
2017-07-11 01:00:00,2.0185,1.6016,2.025,1.234,1875806.58060932
2017-07-11 07:00:00,1.6016,1.4201,1.6769999999999998,1.3742,1486990.16571878
2017-07-11 13:00:00,1.42,1.6553,1.6798,1.3561,1664519.68936334
2017-07-11 19:00:00,1.66,1.6112,1.78,1.4581,1251508.74059421
2017-07-12 01:00:00,1.6002,1.5,1.631,1.4622,492632.49653209
2017-07-12 07:00:00,1.5,1.545,1.6,1.3980000000000001,740875.26202324
2017-07-12 13:00:00,1.5523,1.6798,1.6980000000000002,1.5318,628888.93843954
2017-07-12 19:00:00,1.6764,1.9904,2.0469,1.6231,801453.42412848
2017-07-13 01:00:00,1.9904,1.985,2.0499,1.8,725670.91255433
2017-07-13 07:00:00,1.9780000000000002,1.7996,1.9880000000000002,1.77,429690.74706920004
2017-07-13 13:00:00,1.8001,1.8056,1.8294,1.7001,300258.78989787
2017-07-13 19:00:00,1.8030000000000002,1.63,1.86,1.6048,475223.42051787
2017-07-14 01:00:00,1.63,1.6442,1.72,1.605,381939.49905283
2017-07-14 07:00:00,1.649,1.6679,1.6781,1.5405,366013.20045296
2017-07-14 13:00:00,1.6677,1.6228,1.7,1.62,150234.43255853
2017-07-14 19:00:00,1.6255,1.5219999999999998,1.6389,1.456,665650.80411943
2017-07-15 01:00:00,1.5219999999999998,1.5189,1.6099,1.4514,592012.19279845
2017-07-15 07:00:00,1.5190000000000001,1.422,1.5274,1.31,854044.3769499002
2017-07-15 13:00:00,1.4101,1.4227,1.4793,1.3,599592.66863707
2017-07-15 19:00:00,1.4214,1.3998,1.43,1.285,600527.08577275
2017-07-16 01:00:00,1.3899,1.3,1.4185,1.2901,454465.79006581
2017-07-16 07:00:00,1.2947,1.2587,1.3294,1.25,547827.38275689
2017-07-16 13:00:00,1.254,1.173,1.2794,1.1705,620593.29858963
2017-07-16 19:00:00,1.18,1.227,1.25,1.1336,631175.19775782
2017-07-17 01:00:00,1.2263,1.244,1.2899,1.15,563345.3815633
2017-07-17 07:00:00,1.2323,1.36,1.3799,1.217,655091.16071344
2017-07-17 13:00:00,1.3607,1.3198,1.479,1.3001,777517.53357854
2017-07-17 19:00:00,1.3006,1.4533,1.47,1.2699,893994.95657862
2017-07-18 01:00:00,1.4509,1.5551,1.5789,1.4201,598734.6037025
2017-07-18 07:00:00,1.5706,1.5301,1.5707,1.4569,318910.61929204
2017-07-18 13:00:00,1.5301,1.5424,1.5998,1.4731,416170.51104659995
2017-07-18 19:00:00,1.55,1.64,1.7157,1.5343,562830.4340305
2017-07-19 01:00:00,1.6327,1.653,1.73,1.58,1169437.9931358
2017-07-19 07:00:00,1.6527,1.6768,1.68,1.4656,505001.96526019
2017-07-19 13:00:00,1.6769999999999998,1.704,1.7745,1.6480000000000001,518526.39420665
2017-07-19 19:00:00,1.7,1.5872,1.7089,1.5818,494202.00994475
2017-07-20 01:00:00,1.588,1.4936,1.66,1.4501,697423.05043591
2017-07-20 07:00:00,1.4851,1.6198,1.6788,1.4851,351076.98451394
2017-07-20 13:00:00,1.6198,1.6680000000000001,1.68,1.55,222219.49271149997
2017-07-20 19:00:00,1.6680000000000001,1.6599,1.7499,1.6397,540326.46322428
2017-07-21 01:00:00,1.6597,1.7164,1.7252,1.631,503890.30776872
2017-07-21 07:00:00,1.7164,1.916,1.95,1.6694,635773.36406519
2017-07-21 13:00:00,1.9157,1.88,1.9967,1.7701,566041.09598918
2017-07-21 19:00:00,1.8899,1.7722,1.9089,1.7578,508924.22332664
2017-07-22 01:00:00,1.7771,1.7988,1.8,1.71,251302.52099648
2017-07-22 07:00:00,1.7964,1.8869,1.8914,1.7699,218589.54172476
2017-07-22 13:00:00,1.8869,1.9543,1.9996,1.8459999999999999,482819.68573545
2017-07-22 19:00:00,1.9423,1.994,1.9979,1.89,620180.15398607
2017-07-23 01:00:00,1.994,2.0302,2.0983,1.9601,372900.81009767
